3       Cyclopentane                4.98    96.3
4       22-dimethylbutane          4.68    99.3
5       23-dimethylbutane          5.45    97.8
6       Cyclohexane                 4.96    99.3
7       Cycloheptane                5.20    95.8
8       Cyclooctane                 5.27    92.4
9       Adamantane-sec             6.05    100.4
10      Adamantane-ter             5.30    99.9
11      DiethylEther               5.81    95.5
12      Piperazine                  7.46    93.5
13      Piperidine                  7.45    92.2
14      Pyrrolidine                 7.49    90.7
15      Tetrahydrofuran             6.16    93.8
16      Dioxane                     5.01    97.6
17      Triethylamine               7.52    91.2
18      DABCO                       5.90    98.8
19      Dimethylsulfoxide           4.26    102.3
20      Benzaldehyde                7.08    91.4
21      HMPA                        6.02    93.9
22      Morpholine                  7.10    93.3
23      Diethylamine                7.44    91.9
24      Propylamine                 6.73    91.2
