Methane	105.0	104.49
Ethane	100.5	100.69
Ethylene	110.9	109.95
Formaldehyde	88.0	88.17
Cyclopropane	106.3	108.22
Propane	100.9	100.68
Methanol	96.1	95.97
Trifluormethane	106.4	105.82
Trichloromethane	93.8	92.44
Cyclopentane	95.6	95.59
2-methylbutane	95.8	95.91
2,2-dimethylbutane	98.0	97.49
2,3-dimethylbutane	95.4	96.18
Cyclohexane	99.5	97.54
Cycloheptane	94.0	93.89
Cyclooctane	94.4	90.21
Adamantane(2)	98.4	97.85
Methylamine	93.9	92.70
Acetaldehyde	94.3	94.89
DiethylEther	93.0	93.81
Tetrahydro-2H-pyran	96.0	94.73
Piperazine	93.0	91.92
Piperidine	89.5	90.69
Pyrrolidine	89.0	89.45
Tetrahydrofuran	92.1	92.21
Dioxane	96.5	95.74
Triethylamine	90.7	89.40
1,4-diazabicyclo[2.2.2]octane	93.4	96.73
Acetone	96.0	95.37
Acetonitrile	97.0	96.29
Dimethylsulfoxide	94.0	100.86
Dimethylamine	94.2	91.96
N,N-dimethylacetamide(acetyl)	91.4	97.56
Cyclohexadiene	76.0	75.17
Benzaldehyde	88.7	89.27
Toluene	89.7	89.81
BenzylAlcohol	79.0	83.39
Ethylbenzene	85.4	87.58
Cumene	83.2	86.85
Indene	83.0	79.01
Morpholine	92.0	91.78
1,3-pentadiene	83.0	81.60
1,4-pentadiene	76.6	75.09
