Methane	105.0	104.60
Ethane	100.5	100.65
Ethylene	110.9	110.24
Formaldehyde	88.0	87.92
Cyclopropane	106.3	107.95
Propane	100.9	100.44
Methanol	96.1	95.85
Trifluormethane	106.4	105.01
Trichloromethane	93.8	91.96
Cyclopentane	95.6	95.04
2-methylbutane	95.8	95.45
2,2-dimethylbutane	98.0	96.68
2,3-dimethylbutane	95.4	95.46
Cyclohexane	99.5	96.76
Cycloheptane	94.0	92.93
Cyclooctane	94.4	89.07
Adamantane(2)	98.4	96.32
Adamantane(3)	96.2	95.69
Methylamine	93.9	92.80
Acetaldehyde	94.3	94.85
DiethylEther	93.0	93.12
Tetrahydro-2H-pyran	96.0	93.89
Piperazine	93.0	91.17
Piperidine	89.5	89.96
Pyrrolidine	89.0	88.95
Tetrahydrofuran	92.1	91.56
Dioxane	96.5	94.88
Triethylamine	90.7	88.43
1,4-diazabicyclo[2.2.2]octane	93.4	95.56
Acetone	96.0	94.99
Acetonitrile	97.0	96.34
Dimethylsulfoxide	94.0	100.58
Dimethylamine	94.2	91.86
N,N-dimethylacetamide(acetyl)	91.4	96.77
Cyclohexadiene	76.0	75.54
Benzaldehyde	88.7	88.17
Toluene	89.7	90.21
BenzylAlcohol	79.0	83.58
Ethylbenzene	85.4	87.73
Cumene	83.2	86.72
Dihydroanthracene	76.3	79.85
Diphenylmethane	84.5	84.50
Benzene	112.9	113.04
DibenzylEther	85.8	79.60
Fluorene	82.0	81.15
Indene	83.0	78.33
Morpholine	92.0	91.05
1,3-pentadiene	83.0	82.12
1,4-pentadiene	76.6	75.69
