Methane	105.0	104.95
Ethane	100.5	101.34
Ethylene	110.9	110.84
Formaldehyde	88.0	88.58
Cyclopropane	106.3	108.97
Propane	100.9	101.64
Methanol	96.1	96.41
Trifluormethane	106.4	107.20
Trichloromethane	93.8	93.54
Cyclopentane	95.6	96.34
2-methylbutane	95.8	97.34
2,2-dimethylbutane	98.0	99.30
2,3-dimethylbutane	95.4	97.75
Cyclohexane	99.5	99.19
Methylamine	93.9	93.07
Acetaldehyde	94.3	95.85
DiethylEther	93.0	95.28
Tetrahydro-2H-pyran	96.0	96.31
Piperazine	93.0	93.40
Piperidine	89.5	92.15
Pyrrolidine	89.0	90.76
Tetrahydrofuran	92.1	93.65
Dioxane	96.5	97.34
Acetone	96.0	96.89
Acetonitrile	97.0	96.91
Dimethylsulfoxide	94.0	102.03
Dimethylamine	94.2	92.61
N,N-dimethylacetamide(acetyl)	91.4	99.62
Cyclohexadiene	76.0	76.31
Toluene	89.7	90.53
Benzene	112.9	113.07
1,3-pentadiene	83.0	82.88
1,4-pentadiene	76.6	76.24
