Methane	104.95	105.39
Ethane	101.34	101.69
Ethylene	110.84	110.61
Formaldehyde	88.58	89.08
Cyclopropane	108.97	109.26
Propane	101.64	101.96
Methanol	96.41	96.87
Trifluormethane	107.20	107.43
Trichloromethane	93.54	93.82
Cyclopentane	96.34	96.49
2-methylbutane	97.34	97.31
2,2-dimethylbutane	99.30	99.43
2,3-dimethylbutane	97.75	97.89
Cyclohexane	99.19	99.41
Methylamine	93.07	93.42
Acetaldehyde	95.85	95.26
DiethylEther	95.28	95.60
Tetrahydro-2H-pyran	96.31	96.63
Piperazine	93.40	93.56
Piperidine	92.15	92.27
Pyrrolidine	90.76	90.78
Tetrahydrofuran	93.65	93.92
Dioxane	97.34	97.66
Acetone	96.89	96.21
Acetonitrile	96.91	96.18
Dimethylsulfoxide	102.03	102.26
Dimethylamine	92.61	92.89
N,N-dimethylacetamide(acetyl)	99.62	99.47
Cyclohexadiene	76.31	74.33
Toluene	90.53	90.60
Benzene	113.07	115.44
1,3-pentadiene	82.88	80.87
1,4-pentadiene	76.24	74.23
