Methane	104.95	104.49
Ethane	101.34	100.69
Ethylene	110.84	109.95
Formaldehyde	88.58	88.17
Cyclopropane	108.97	108.22
Propane	101.64	100.68
Methanol	96.41	95.97
Trifluormethane	107.20	105.82
Trichloromethane	93.54	92.44
Cyclopentane	96.34	95.59
2-methylbutane	97.34	95.91
2,2-dimethylbutane	99.30	97.49
2,3-dimethylbutane	97.75	96.18
Cyclohexane	99.19	97.54
Methylamine	93.07	92.70
Acetaldehyde	95.85	94.89
DiethylEther	95.28	93.81
Tetrahydro-2H-pyran	96.31	94.73
Piperazine	93.40	91.92
Piperidine	92.15	90.69
Pyrrolidine	90.76	89.45
Tetrahydrofuran	93.65	92.21
Dioxane	97.34	95.74
Acetone	96.89	95.37
Acetonitrile	96.91	96.29
Dimethylsulfoxide	102.03	100.86
Dimethylamine	92.61	91.96
N,N-dimethylacetamide(acetyl)	99.62	97.56
Cyclohexadiene	76.31	75.17
Toluene	90.53	89.81
1,3-pentadiene	82.88	81.60
1,4-pentadiene	76.24	75.09
