Methane	104.95		104.60
Ethane	101.34		100.65
Ethylene	110.84		110.24
Formaldehyde	88.58		87.92
Cyclopropane	108.97		107.95
Propane	101.64		100.44
Methanol	96.41		95.85
Trifluormethane	107.20		105.01
Trichloromethane	93.54		91.96
Cyclopentane	96.34		95.04
2-methylbutane	97.34		95.45
2,2-dimethylbutane	99.30		96.68
2,3-dimethylbutane	97.75		95.46
Cyclohexane	99.19		96.76
Methylamine	93.07		92.80
Acetaldehyde	95.85		94.85
DiethylEther	95.28		93.12
Tetrahydro-2H-pyran	96.31		93.89
Piperazine	93.40		91.17
Piperidine	92.15		89.96
Pyrrolidine	90.76		88.95
Tetrahydrofuran	93.65		91.56
Dioxane	97.34		94.88
Acetone	96.89		94.99
Acetonitrile	96.91		96.34
Dimethylsulfoxide	102.03		100.58
Dimethylamine	92.61		91.86
N,N-dimethylacetamide(acetyl)	99.62		96.77
Cyclohexadiene	76.31		75.54
Toluene	90.53		90.21
Benzene	113.07		113.04
1,3-pentadiene	82.88		82.12
1,4-pentadiene	76.24		75.69
