1,3-pentadiene		82.9	82.2
1,4-pentadiene		76.2	76.0
2,2-dimethylbutane		99.3	99.1
2,3-dimethylbutane		97.8	97.7
2-methylbutane		97.3	97.2
Acetaldehyde		95.9	95.3
Acetone		96.9	96.4
Acetonitrile		96.9	96.6
Benzene		113.1	112.7
Cyclohexadiene		76.3	76.2
Cyclohexane		99.2	99.1
Cyclopentane		96.3	96.1
Cyclopropane		109.0	108.5
DiethylEther		95.3	95.1
Dimethylamine		92.6	92.4
Dimethylsulfoxide		102.0	101.7
Dioxane		97.3	97.3
Ethane		101.3	99.3
Ethylene		110.8	110.3
Formaldehyde		88.6	88.0
Methane		105.0	104.4
Methanol		96.4	96.0
Methylamine		93.1	92.8
N,N-dimethylacetamide(acetyl)		99.6	99.4
Piperazine		93.4	93.5
Piperidine		92.1	92.2
Propane		101.6	101.3
Pyrrolidine		90.8	90.6
Tetrahydro-2H-pyran		96.3	96.2
Tetrahydrofuran		93.7	93.3
Toluene		90.5	90.1
Trichloromethane		93.5	93.4
Trifluormethane		107.2	106.6
