Methane	104.95	105.21
Ethane	101.34	101.53
Ethylene	110.84	110.93
Formaldehyde	88.58	88.93
Cyclopropane	108.97	109.17
Propane	101.64	101.80
Methanol	96.41	96.76
Trifluormethane	107.20	107.40
Trichloromethane	93.54	93.71
Cyclopentane	96.34	96.31
2-methylbutane	97.34	97.12
2,2-dimethylbutane	99.30	99.25
2,3-dimethylbutane	97.75	97.76
Cyclohexane	99.19	99.25
Methylamine	93.07	93.35
Acetaldehyde	95.85	95.68
DiethylEther	95.28	95.50
Tetrahydro-2H-pyran	96.31	96.54
Piperazine	93.40	93.48
Piperidine	92.15	92.19
Pyrrolidine	90.76	90.69
Tetrahydrofuran	93.65	93.80
Dioxane	97.34	97.56
Acetone	96.89	96.69
Acetonitrile	96.91	96.61
Dimethylsulfoxide	102.03	102.25
Dimethylamine	92.61	92.82
N,N-dimethylacetamide(acetyl)	99.62	99.45
Cyclohexadiene	76.31	75.05
Toluene	90.53	89.74
Benzene	113.07	113.04
1,3-pentadiene	82.88	81.68
1,4-pentadiene	76.24	75.04
